element,kanjilist
亻,垈躙倅攫們倹攤鵆俾絎伐伸俳縮徳從徊従徇徒徽役衙恁椛椨休借個花欟倒倆俘絛褓喉伊鮴篌律径靴徐徑鞭葎待後贋椎褒伝蹤權躪倚拊僻伍俵聚縱衢哘復徼征擁葆往茯徴貸徨閥宿伎倖僵倍坿羅軈罐倏雙倨倔俶鶴伜帷縦衡筏黛脈鮒堡徂徃得獲俺伏倩罹備護驩催偲在偽佳侫鷦侘錐符憔掖仲儒荐壅樅訛癰旅健偬佰鷹使鑼鑵腑仙推償霍億蓚仰付莅腋腐雉確薇隹偈碓戳截側佼併侭甕膺化任擢儀儔儕儁灘曜憊膂屐府侮佯佻傭偵偉歡驟讙価鴈糀佶柎蠖権篠岱价儚携儂儖荏件蘿惟侈侯侠燿偶歓姙假埖雍但佝猴侑售應仞優囃儲例佞俄钁体便佇僅雎穫傑傅顧硴偐僊雁傾傳隼偸佑鏥依覆唯仟儘礁観俊佐籬隻舊傲蕉讎拵雀傍顴雋僂停働雄偕苻佛促住侃潅慫仕凖儼儉儡荷凭儻灌仔銜栫履耀侍何侶佩作係雅偏傷雌夜傚薙債附讐偖雇低佚佃觀佗侏供匯他仭烋蓿儷儺邏仮仗代液樵咐崔錵襍位侵集焦像偃做傴癨傀僞藺雕値雜倫僧保濮行筰瞿准循賃彿暹筱桁恠勸估廱雛候倬攸倥軅離準雖倪伽俥俑寉維聳濯袱衝衆衒懼堆徹仇徙摧進囮徘彳仆貨淮袋術裄衞恷勧悠俐俤俟俸僑僥倦價難奪奮騅僕倭垳倶躍伺俔俯俛街仂彷徠仍矍很貅御愆袵衍鸛櫂玳糴伶信倣稚僖倡僭俗伯俣存俚伴糶修衛脩條虧微仁派禦彼仏什徭懲懽誰黴鐫似伉鵺僮攜雑僚僣滌
仁,佞
仄,昃
今,衿蔭衾頷黔吟貪莟唸岑陰棯捻矜鯰念稔琴含
介,疥堺价芥界畍
从,頰齟倅從頬悴靈篋誣峡鵐蹤齒縱挫檣瘁醉孅挾齔夾纖樅傘薔翠巫憖碎麩猝覡噬墻膵侠陜座麪萃囃粹埣讖籤來賚麥殲鋏牆慫麭蓙莢浹穡齬雜卒懺齲齦聳狭齪齧齷齣坐徠囓挟筮齶齠狹淬峽筴嗇艢齡
付,椨拊坿鮒符腑腐府柎苻附咐俯
代,垈貸黛岱袋玳
令,領羚聆零嶺苓嶺羚澪玲零聆怜鴒鈴領蛉玲鈴伶齢囹冷齡冷
以,苡似
任,恁荏姙凭賃袵
伏,茯袱
伐,閥筏
休,鮴烋恷貅
会,桧絵
位,莅
何,荷
余,徐畭途餘叙斜敍塗除敘荼蜍
作,筰
佰,縮宿鏥蓿
來,憖麩麪賚麥麭徠
侖,崙崘論倫輪淪綸棆
侯,喉篌猴
便,鞭
保,褓褒葆堡
修,蓚
倉,愴蒼創搶槍艙蹌瘡鎗滄
備,憊
僉,倹検簽檢鹸剱険驗斂剣險劒匳劔儉歛臉劍瀲嶮瞼験
僕,濮
儿,竸罕奐竟寃悗蟯勘魔梭筅尠魏脱虎洗撓睦菟冦換逸贊魁絖廐滉稽悛続魃魎読輓橘堪冤饒跳晄魍尢輝魂尭獻鐃恍簪頽蹴藐旡完禿蒄亮蒐沈逃冠烱兢祝洸晩號晁愧巍橈无羌竣既煥廛就濳魑魅晃深饕先挽光堯曁疣魄漑尤説暁寇椹藝斟圀戡幌耽塊駟莞餽匹胤融陵埶驍瑰鬻慨纏麑纔浣囈鬼鯢鷸院薇発窕猊勉莵霓境犹繞糂枕佻姚翫廃鬲呪遶甚鑽唆翹譖忱遞探駿胱剋鷲隗譎焼潛鬩銑涜浚蛻概鴆俊讚隔澆眺泗耀鏡蕘皴讒燒碪皖陸銃銚裔眈鯱蠶膈皃傀渙頑酸喚琥売淕児兄克兌貎四充尨玩褫芫阮倪㓁喨桃吮兇兒兆娩彪誂峻嵬肬椶僥湛醜酖俛商嶢況冕免况挑貌元党兎睨跣冏鋭厖勢統槐熱競磽税僭褻魘巉曉閲微兜逵逡允兀兔厩尅悦鍖攜溌躔醗
兀,蟯撓絖滉饒晄輝尭鐃恍洸橈晃光堯暁幌驍薇繞遶翹胱焼澆耀蕘燒僥嶢磽曉微
允,梭悛竣唆駿浚俊皴銃酸充吮峻統逡
元,冦完蒄冠寇莞浣院翫皖頑玩芫阮
兄,脱兢祝説呪剋蛻克兌況况党鋭競税閲尅悦
充,銃統
兆,跳逃晁窕佻姚眺銚桃誂挑
兇,椶
先,筅洗贊濳鑽銑讚跣
光,絖滉晄輝恍洸晃幌胱耀
克,兢剋尅
兌,脱説蛻鋭税閲悦
免,寃悗菟逸輓冤晩挽纔勉讒娩俛冕巉兔
兎,莵
兒,麑鯢猊霓鬩貎倪睨
兔,寃菟冤纔讒巉
入,輸愈懣愉倆魎兪衲蹣輛蚋鍮楡裲覦渝揄蝓滿叺杁踰諭銓偸癒瑜圦陝訥込喻瞞逾吶喩瘉鳰靹糴肭兩
全,筌詮栓銓痊
兩,懣倆魎蹣輛裲滿瞞
兪,輸愈愉鍮楡覦渝揄蝓踰諭偸癒瑜喻逾喩瘉
八,欅竸罕竟蹲総勘黹梭誉脱異吩共公饌彌愼演鎹分宍糞廐稘謚翁悛鷆廝鶲蜈瓰暝尺堪撰冥駅汾娯鋲簾簪醸溢騫択藐釈旡寅鎭尽撕禰蒐兮具挙其六厮箜箕梹鎮槙綾无謇竕既盻鷏誤暴閧彜蓊瀑茣兵兼貧沢曁爆虞漑嶼説椹椌鷁旗雰斟竇竊基窓戡碁楢業麒慎腆岔曝塞搾真嚢壌匹巓枳嬢榠寡窒戴穹窰竄窿蕕窟癲窄枌剪慨麑麌呉賺擧眞鬼鯢鴪竅窩颶突窕籏侭幎寒猊蛬腔賽氛莵霓遵搴嫌惧枩糂螟隘歉顛譲薐譽窶窖舉鱒訟臀咫邉昼慊甚襷隧窃興窗滾竃窺殿譖益釟船嗔曾呎浜遒囎忿墫曽只巽寨紛盆港翼窪穿穽歟璽松猷潛樽鬩邊邇噂選擲儿浚弟並填慈蛻鬨濂諡猶概與窘竈穣窯空拱窈并廉邃塡膣崚訳前槇皴究碪窮穴驥斯癜鄭釡供粉澱銃鉛淇控叭哄巷鬆蠶舩皃蹇頌酋芬扮鎌簸朞瞋嘶菱典兌貎充菘瞑袞輿鎰躑倥頒騏倪椣恭期濔鈬吮祺沿兇兒凌蚣椶煎湛倶釁蔆孳尊淞蒹貌睨冀鋭棋善統稜欺奠税溟僭褻啌聡瓮縊黼閲洪兜逡瀰允厩普爾黻棊悦鍖鰌謙
公,総翁鶲蓊枩訟松鬆舩頌菘蚣淞聡瓮
六,宍暝冥醸壌嬢榠幎螟譲穣瞑溟
兮,盻諡
共,異饌糞撰暴閧瀑爆曝戴蛬臀殿巽港翼選鬨拱驥癜供澱哄巷恭冀洪
关,関咲
兵,鋲梹浜
其,稘廝撕厮箕旗基碁麒籏斯淇簸朞嘶騏期祺棋欺棊
具,鎮槙鷏慎真巓颶惧顛填塡倶
典,腆椣
兹,磁慈滋
兼,簾賺嫌歉慊濂廉鎌蒹謙
冀,驥
冂,稾講奐黹懣嫡嘗禍瞥換彌輌篇鎬罔髯稿倆扁褊蜻筒魎橘臑揣衲魍獻朿稱髞絅喘糯網漓當禰烱蒿嫦冉嵩策喬蔽騙稠蹣煥綱廠惆鋼懦瞠囘洞向同暼輛蚋蟐倩端网驕敞藁猜崙鯛甞丹儒嚮炯需購崘融襦蕎苒敝滴裳鬻篝萵償遘裲柄楠鷸蕀窩嬬鑰蠕餉菁掌墺懊襠旃滿鼈斃膏鬲棘媾蝸螳覯偶興敲粫幤岡棠搆丙弊咼棡繻論惴槁燠翩譎納璽鏑献嗣栴繭銅棗周塙邇而籥編隔璃賞礑炳適矯儻淌崗澳侖嬌幣偏敵渦陋粡惘剛訥裔轎犒両遖遍過嚆礇諞膈蝙胴構襖渙奥湍雕倫喃喚冓冊週摘彫円厰刪満綢常簓鐺蜩迥濔病冐堝瞞靜凋册冑内吶橋濡尚輪蟷鍋孺僑奧龠商檎淪冕靹党睛跚鞆冏堂禸珊溝謫綸刺肭柵恫棆黼縞南再兩瀰爾黨黻桐調攜高
内,衲蚋柄丙納炳陋訥病吶靹鞆肭
円,蜻瀞倩猜鯖菁靜睛
冉,講髯稱購苒篝遘媾覯搆構冓溝再
冊,篇扁褊騙崙崘鑰論翩嗣籥編侖偏遍諞蝙倫刪輪龠淪跚珊綸柵棆
再,講購篝遘媾覯搆構冓溝
冏,橘烱鷸譎裔商攜
冒,帽瑁
冓,講購篝遘媾覯搆構溝
冖,罕孛寃綻定聹它宗啼朦縮檸狩箒饐蒂瞹瞬冦冪案暄檬演啻綜宍悖寂椀褌家謗攪宴字宛宏続宀暝読畳写貯按冥冤揮睿靉壹爨蛍縡輝宕宜帰宵煢騫稼富寅帯宅完獰疉詫濘晏壕蒄亮沈冠亭豪箜鮟蛇鋺濱宋実蜿宰寄宿艨謇竚鶴密喧宝深淙瀋冢宇寇綰學害椌帶竇竊窓舘苧寔鴬寛侘耽駸塞莞搾嚢掃鬢榠紵寡窒薨穹窰竄窿皹窟窄締粽寮黌牢塋浣嫁菅擦駝腟蠑憂棺蠹樒割鴪索楴榮寢碗院皸確竅殪窩碇突窕寝實幎寒栄鬱腔憲賽掟萱搴腕牽柁寓寧枕寞螟穃夢額殯窶窖旁舵寥膀甍咤曚儚擡擯塚邉浤曖鉈寤寐嬪寫察窃窗竃磅穀窺渟蕣寵審螢諚忱優探婉蠧棕犖諢榜榁榕寨鷽佇陀窪穿踪穽歸寶鏥諠崇授邊運涜擾噎淀嚀轄鴆癆窘滯竈傍渾窯空停窈覺寳労覚婦館賓邃叡膣繽瑩戞究窮穴滓皖滞殼渤營薹寰鴕佗錠勃諦受浸控蓿萓眈轂侵舜殻蹇客鶤売彙豁瀉瞑愛愨誼疊営琿宮帝宣蔕倥毫溶滂蹄㓁喀糘寉安喨蜜濛濠鞍壱亳葷撹矇蒡蓉沱愃檳勞守熔軍酖釁宸室聢官詑管濬懿蒙撈菷冩冨瞎壼宙宥学容溟鎔啌暉壺壷豌冗臺暈疂櫁鶯宦帚綬
冘,沈
冠,蒄
冢,塚
冥,暝榠幎螟瞑溟
冫,鰯鮗鈞終檪冬蒻跳尽逃摂凉晁瓷搦柊蟀函韵弱窕侭寒塁嫋唹佻姚於螽憑匀楽渋諮咨苳姿涵凝粢凖眺鯲鼕薬銚凜凛軣鶸决冲准冽桃凋冰凄凅冱凌兆誂閼恣溺蔆懿况挑茨冴疼率盗次均嵶淤馮資冶凍冷疂冷
冬,鮗終柊螽苳鼕疼
凌,蔆
几,投芟筑瀛役酘肌疫處嵐瘋醫抗頽磐鳬贏馨亢没廢磬飢机撃恐鳧飄凱凰諷般颱航搬拠飆夙骰颶廏鑿飃癈臀凩慇繋緞發風穀殿珮毅殳槃蛩凪凧処設毆颪杭咒凭佩殺翳殷段殼颯癜澱凡轂楓燬殻殴毀盤椴跫鞏愨帆撥葮吭梵聲股鍛築汎坑謦羸頏瘢鳳冗伉
凡,筑瀛贏恐蛩跫鞏帆梵築汎羸
処,處拠
凵,溯齟厥蚩黐瓲艸逆离脳悩齒柮漓倔魑愬鈍祟禽黜恟芻齔蹶鄒胸窟鬯函擒凾塑蕨歯鬱出遡凶屆凸噛凹闕屮純涵屈屯籬拙璃画掘趨槊匈噸邨咄崛嗤皺齬獗洶蒭雛齲齦離兇沌椶齪齧頓齷齣檎囓朏朔飩齢齶齠糶堀齡
凶,黐离脳悩漓魑禽恟胸擒籬璃匈洶離兇椶檎
出,柮倔祟黜窟屈拙掘咄崛朏糶堀
函,涵
刀,齋切綛吩靭初獺分契齊刄瓰券茘冤挈汾扨喫靱照齎髫竕朷蟹忍彜禊貧刃雰齏粱岔纃韶剱寡枌剪辧籟招薺拐枴氛儕臍昭叨蠏劈劭韲擠嬾窃釼籾劒屶澀仞忿懈紛盆劑楔潔召超釖劔辺邂霽癩剏粉仭邵荵紹躋芬扮懶貂刧頒詔梁認齧釁貿沼囓濟衂簗齠砌解迢廨藾
刂,刊輸愈瀏愉苅倒刋鯏兪刹刑帰利洌刔箚厠列鍮刎剤剰剿烈揃剥渕楡剳剪荊嚠製剽割覦薊渝側劉揄剣蝓廁翦創捌剴副踰剌掣諭惻例剋剄班劇偸劑剝犁削剞則癒剃擶莉痢剖瑜前劃剛剔辨剩劍測冽刪刳椡溂別喻梨逾喩判到俐煎瘉刻刈型蜊刮刺悧刷箭裂制喇罰
刃,綛靭忍籾荵認
刄,扨靱剱釼劔剏仭衂
分,吩瓰汾竕彜貧雰岔寡枌氛忿紛盆粉芬扮頒釁
切,窃砌
刈,苅
刑,荊型
列,洌烈例冽裂
別,捌
利,鯏犁莉痢梨俐蜊悧
到,倒椡
制,製掣
則,厠側廁惻測
剌,溂喇
前,揃剪翦擶煎箭
劉,瀏嚠
力,勘筋務珈抛勳黝虜勲肋袈恊飭勵嫐湧努莇笳拗劫懃効劬勉慟耡加嬲劭枷駕架劣舅勇劾勅励甥功癆働窈労霧跏劼助劵勁渤幼勃男勍釛踴迦娚脅鋤勤勸募伽朸勝勦勒脇嘉茄賀勧勞椦勣勗協仂撈勢勠痂動
加,珈袈笳枷駕架跏迦伽嘉茄賀痂
助,莇耡鋤勗
劵,藤勝椦
勃,渤
勇,湧踴
動,勲慟働
務,霧
勞,癆撈
勤,懃
勹,褐勿詢鈞鞠徇葛愡垉謁湯藜蜴勾揚恂旬竭芍妁煦鮑蒟靤筍勺觴藹砲煬鞫淘跼場鈎檠恟刎抱芻瘍髑苞鄒偽匐蘯鉤菊萢包胸殤苟蕩偬惣惚蝎局鯣甸炮灼韵駒掏腸匆膓杓胞劬陶驚偈陽怱匍匂渇警裼黎蠍匁荀捌掲匀匏庖寫殉歇佝塲賜物鉋濁犂錫的碣敬燭皰枸易句忽為慯麹枹怐蝪咆掬遏萄趨笏屬潟釣拘傷譌約剔麭匈昜泡矚臈曷楊皺飽僞蔔椈絢暘吻洶葯瀉鞨葡蒭綯雛躅酌羯盪別獨疱狗洵蜀觸齣暢靄冩髱均喝蚫爲鞄葱囑豹袍雹
勺,芍妁灼杓的釣約葯酌豹
勾,鈎
勿,湯蜴揚觴煬場刎瘍蘯殤蕩偬惣惚鯣腸匆膓陽怱裼塲賜物錫易忽慯蝪笏傷剔昜楊暘吻盪暢葱
匀,鈞韵均
匂,褐葛謁藹渇掲臈曷靄喝
包,垉鮑靤砲抱苞萢炮胞匏庖鉋皰枹咆麭泡飽疱髱蚫鞄袍雹
匆,愡偬怱葱
匈,恟胸洶
匍,葡
匐,蔔
匕,褐它箆蓍嘗豼愼詣尼椛廐花謁稽髭鷆背鮨混靴乘箟鰭肄毘鎭嶷蛇批藹砦曁羆齔頴麒麝秕擬麓屍巓訛庇枇楷薨姥癲篦鬯蛯麑纔麌蓖眞駝麟叱麋屁焜此死廏粃鬱匂呰化嚥礙麕態北麁柁渇穎斃舵糀麗掲菎鉈昵鯤紫癡埖燕紕嗔鹿轆匙眤眥泥崑耆嗜陀陛皆階硴傾鴇怩耄耋眦凝昆潁能偕老牝擺灑塵咾麈槇雌讒皀驪驥鴕佗儷臈曷諧鏖錵剩讌瞋揩漉棍埀罷疑壱貔囮嘴沱貨臙砒頃旨詑脂靄冀疵觜比熊妣喝巉乖葬些指貲柴琵
化,椛花靴訛糀埖硴錵囮貨
北,背乘嚥燕驥剩讌埀臙冀乖
匚,頤勘尠堰駆筐堪嘔嫗嶇篋醫熙躯奩箍椹斟戡匹樞匝甌榧矩糂慝炬秬甚拒苣驅匱鉅匿渠歐匪匳毆区匣巨鴎翳碪枢医匯匠匡偃傴殴煕欧距湛謳櫃框區筺柩鍖
匝,箍
匡,筐框筺
匪,榧
匱,櫃
匸,瀛肓罔盲妄茫魍芒網贏鋩亡侫氓荒慌忙忘惘虻望羸
匹,勘尠堪椹斟戡糂甚碪湛鍖
区,駆躯鴎枢殴欧
医,醫翳
匿,慝
區,嘔嫗嶇奩樞甌驅歐毆傴謳
十,奸罩罕謀倅攤妓俾孛肝鰈鍾柑勘刊誡專漕尠懣鮃箝嫡徳鞠靺逹擇韈睾靭報貭乾箇篇鐔某悖廟悍借個技磚體稘扁絨褊植廝悴勳刋嵌堪固睥鞣瀚靴鞭靼贄彝脾蚶縡尭勲悼啣刑糟盾煢阜稙蹠飜酣僻綽孝槿帯蟒瓩篏卉撕囲靱挿鞦插睡其兢郵靫懐厮午嶂箕鎮宰槙伎垪倖瘁飛稈翅醉騙蹣罟羇直倨扞妍伜絆鷏聨瓶鐸喪桿袢算彜蓆鞫鞘蛄暁悳槽席椹帶旗煤支艚拌坪種翆章奔斟鼾薜基燻執戡碁枝幹惠剰瑾蝨崙潭樟麒慎甓哉腆甞忤泙噴真莽纂膿岼潮崘巓惜粋嬶鷓幸苦戴夲驛薛傘翠姑譯滴癲埴紺枅蟀杆璧屏辧裾懃曹墳壊捍荊避餬展澣糊索楯楠故苹碎髀踞碾譬陲截紲併籏鴣鑰怙居辭訊轉甜駢丗弉嚥世餠涸塀痺慟臂辣屐憇辮猝胖蟄糂緤劈拑滿穗竏鼻顛竍楪鱆楳怦訐栞澤峅繹叶懌痼壁秤邯霹遮霸儂遭媒膵甚甎岐蠎裨辯胡粁籍庶碑渡圉燕嬖計迅萃蓴擘萍忰弊曲辟論剋蝴錘璋粹襞度埣藉翩骭鼓譚軒障穽皐皋戎蕈傳焼隼覲鴇平蝶鏑献嗣農濃笄蘖腫昇餅仟据囀捶弄婢填掉甘古蘗闢辞諜笹覇覊楜籥編干鷙針埠滯顰滸戒働陞殖癖并籵覃耕枡錮濆鉗牒叛遁凖適塡弁慱枠侖枯偏敵鼕碪滓渫踵滞渤團斯幵鱧剏瑚杵勃胼錯許岸辻辨栽棹牌辛憤丼淇弃嚊跂駻遖韓遍措矗草儺辜昔諞唾蝙年薫斡戟舁讌做歃翰湖研値躄倫簟廰喃簸廿朞卒卆鞜冊鞁禮嘶克典鞨葉鞴摘循彰鞏沽半哢鋸疳升卓刪瓧朝絣鵲估埀倬蔕満竿砕置醋垂醐騏髷艱旱蔗羈準坩釋阡椣廳廾期勒衝卅卑祺鞍賁泄瞞董革凅瞽韃畊卸臙迸評詁輾輪聽判簒湛熏軆龠槹檗協淪豊貰鞳韆靹摶御汗跚鞆形裁棋開械棄珊槫率喋鵯瘴醴早欺稗型謫重綸伴瓣肢啅柵棆鈷博南畔千鞐賊鞄乖汁禦鞋葬摯井嘲葫淬乗鞅饉什梓卍棊載尅聴鍍鍖動艶酔醺
卂,迅
千,鍾勳刋勲瓩挿插睡郵種燻剰陲慟竏粁錘腫仟捶働踵唾薫歃埀垂阡衝董熏重乖乗動醺
卅,帯丗滞棄
卆,伜翆粋忰枠砕酔
升,飜飛昇陞枡
午,啣忤滸杵許卸御禦
卉,尭暁奔噴墳蠎焼濆憤賁
半,絆袢拌胖叛判伴畔
卑,俾睥脾髀痺裨碑婢顰牌稗
卒,倅悴瘁醉翠碎猝膵萃粹埣淬
卓,罩悼綽掉棹倬啅
南,楠献遖喃
単,褝禅弾戦蝉箪騨
卜,罩齟政綻定鮎堤冦従瀕禎贇卦寂髭蹙峠睿嫣堽壑點悼啣抃齒砧綽褂朴嶷征瀝占椒砦俶企縦督提蛋寇蔬攴齔頻碵武竊滷旋寔覘胥鹹擬眄下丐鹸歪斌歳苫粲捗上掛鉦訃笘癧題此歯歴碇蕋耻黏呰掟遉礙岾偵正敍幀店是赴霑点莚轣紫癡止渋渉敲楚粘麪諚澀匙礎趾涎噛眥澁櫪証歸戚焉凪眦凝淀嚏餐掉鹽圷顰颪歩整篶叔賦叡燦雌穢陟錠錻鹵棹蘋婿外齬站拈梺沾靂祉症卞誕卓槭倬齲齦柾疑貼徙菽嘴仆卸疋阯址齪齧齷齣延鵡聢迯疏濬壻囓御疵蜑肯觜齢齶醍齠垰雫帖啅疎筵裃鞐禦貞沚些貲淑閇蜒柴罫齡
卞,抃
占,鮎點砧覘苫笘黏岾店霑点粘站拈沾貼帖
卦,褂掛罫
卩,領蜷詭即瀏報留椀鰡阨宛印卿危範聊啣節卵却卻卯鋺蜿卷卮抑餾夘掵嚠仰苑碗嶺羚籀劉叩腕笵惓瑠昴命玲榴氾婉圈零聆怨鴒鈴迎櫛昂鉚捲令軛領霤鴛溜孵茆厄瘤柳跪卸箙脆鮠綣扼貿韆御脚齢服禦范豌喞齡冷
卬,仰迎
卯,瀏留鰡聊卵餾嚠籀劉瑠昴榴鉚霤溜孵茆瘤柳貿
危,詭跪脆鮠
即,卿節櫛喞
却,脚
卵,孵
卷,蜷惓圈綣倦
卸,啣御禦
厂,蔵糒廬魔詭巌厘壓逅韈貭贓饑臓臧厥椨廟廐蹙阨廝縻詼蛎嘛逓靡振娠壥贋汳厦鈑后危臟廓簾垢盾磯砺蹠廚廣糠鍼箴脣晨厭瀝撼厮詬廖鳫絋廢糜飯軈砿廛廠勵摩蓆愿卮厠糖廡席蹶備減薩戉襪鹹麒麝版鉱膿昿麓諺麾栃庇床廊鷓藏歳拡鷹腑纏麑麌涯炭麟麋甅腐麿庄楯蕨癧皈歴廏糎唐序麻膺曠灰震麕麁憾憊麼府庁底庵廁傭顔顏鴈康廃広店唇庚纒咸麗応礪蓐遮儂礦巖轣庖廂鱇庶渡釐广座板辱鹿轆應慶遞越慷辰櫪度偐雁戚幾粧庫庸鑛励農濃慵嚴塘鉞濂戍願譏薦圧廉緘崖巵叛遁儼灑塵麈昃耨庠廈戊驪軛穢戌庭岸崕轗蠣産擴蓙儷賑仮鏖坂廰褥獗啀仄賍靂鞴循厰漉原厄蜃糲鰔褫槭廱溏軅竰磨蔗廳恢梔販彦跪壙靨威厳暦脆鮠機扼宸俯黶厚縟返乕反厖縅溽阪源蔑廩鰄魘厨感茂睚厩鍍喊廨躔滅
厄,詭阨危軛跪脆鮠扼
厓,涯
厘,甅糎竰
原,愿願源
厥,蹶蕨獗
厭,壓靨黶魘
厳,巌
厶,肆総育魔梭魏即公黐魁旒欸髯髭翁髢始倒蔭払悛鰺鶲宏勾肱魃輊魎卿私靉曇魍魂縉柧伝鵄髣罎髮髪竢醯雲節桧壜蒐蓋却愧巍絋会竣髦套砿髟髫蔘胎魑魅蓊鈎魄桙藝溘羆垤蔬窓鬣塊弧眸餽鉱昿蛭鬢窒颱驂姪拡劫怯瑰怠鉾台弘囈鬼耘怡鴾呱態牽辮鬘枩苔滲広訟峅擡浤強咥辯唆紘紿陰紜笞鯵闔流駿駘鬚惨隗松耋泓浚嚔能緻俊殆雄繧鬟櫛慘擺弁膣繦襁皴㐬硫転盍薹銃法弃矣牟轍鬆舩傀髻髴頌毓酸至菰充云菘刧椡芸髷罷絵桎畆吮徹挨撤蚣峻嵬到簒俟埃飴醜琺瓠疏畚參晉淞治臻脚参厶致棄瓜統槐髱熊抬觚孤瓣聡瓮詒魘去冶逡允靆仏貽臺狐梳瓢琉喞
厷,雄
去,蓋却溘劫怯闔盍法刧琺脚
参,鯵惨
參,鰺蔘驂滲慘
又,抜投芟攫妓綴鰻輟娶冦報饅役寂拏酘技竪疫汲娵径汳壑鈑暇縵醫磐髪経聚靫馨没畷暖椒廢伎緊翅飯磬湲雙俶吸叉督撃獲寇支攴軽護枝努呶嫂駸捜駑版般粲極掻媛搬凾赧叙寢歿皈骰盈廏寝鑿辭笈霞屐鬘驟癈陬敍幔蠖臀腎痩岌趣蘰慇岐繋怪緞釵發穀渡殿假敲板鏝慢樫钁度毅鼓穫殳緩槃授賢遐餐叟設級隻圣燮毆楹錣叔曼叛搜掫弩叡樶瑕蝦燦鼕殺翳殷段殼癜鏗澱受慳浸跂仮取叢轂怒侵燬殻殴毀坂盤椴鰕輙諏双堅援亟沒愨友啜煖扠販撥菽葮葭瞽豎及箙聲帑艘頚謾扱股鍛返収亂矍反爰鍜最蔓謦溲奴騒阪瘢肢服桑撮茎馭淑漫鍍孥綬鰹
叉,騷靫釵扠蚤
及,汲吸笈岌級扱
友,抜髪暖湲媛緩援煖爰
反,汳鈑飯版皈板叛仮坂販返阪
叔,寂椒俶督菽淑
取,娶娵聚驟陬趣掫樶叢輙諏最撮
受,授綬
叟,嫂捜痩搜艘溲
