kanji,kanjilist
戈,蔵伐鵝誡畿韈摑贓饑臓臧濺誠鵞蹙義絨淺箋臟晟磯鍼箴撼娥閥孅筏践羲減戉戡襪鹹織纎哉曦纖幟戠殘戴戯藏踐歳犠戮戳截幗儀憾繊戲戦識議戰惑銭犧咸膕籖國戛戔残越莪餞餓俄殱戎戚讖幾籤鉞或戍殲譏戒域戝緘棧錢戞戊穢我戌轗栽蛾礒賤浅牋戟成賎懺嶬筬鐵鐡蟻鰔槭盞峩馘威懴峨機艤城裁械縅職蔑熾綫鰄哦感賊茂閾載桟喊盛找滅
戉,越鉞
戊,茂
戌,韈襪歳戍穢蔑滅
戍,畿韈饑磯鍼箴撼減襪鹹憾咸幾譏緘戌轗鰔威機縅蔑鰄感喊
戎,絨賊
成,誠晟筬城盛
我,鵝鵞義娥羲曦犠儀議犧莪餓俄蛾礒嶬蟻峩峨艤哦
戒,誡械
戔,濺淺箋殘踐餞棧錢賤牋賎盞綫
或,摑幗惑膕國域馘閾
戚,蹙槭
戠,織識職
戻,綟捩涙唳
扁,篇褊騙翩編偏遍諞蝙
扇,煽
扈,滬
才,閉豺財材犲
折,逝哲浙誓晢
拑,箝
拜,湃
擧,欅襷
支,妓技伎翅枝屐岐鼓鼕跂瞽肢
攴,政冦撒務放絛贅熬鰲徼徴倏檠寇攻繁蓚繖嗷救故驚竅薇敕牧敏警敖敍枚篠覈敗敲激鼇教敬薮螯緻傲数整霧遨敵敷散霰邀做改嫩檄筱攸徹撤悠致倣修脩條微懲滌
攵,巌瞥徽孜肇暾燉收鐓攷蔽藪廠暼鶩攴敞敝數赦斂籔鼈斃巖釐敦幤弊嚴澂敘效變螫儼幣傚轍敢瞰厰畋愍厳橄綮瀲啓黴
攸,絛倏蓚篠筱悠修脩條滌
放,贅熬鰲徼嗷竅敖覈激鼇螯傲遨邀檄倣
故,做
效,傚
敏,繁
敕,整嫩
敖,贅熬鰲嗷鼇螯傲遨
敝,瞥蔽暼鼈斃弊幣
敞,廠幤厰
敢,巌巖嚴儼瞰厳橄
散,撒繖霰
敦,暾燉鐓
敬,檠驚警
数,薮
數,藪籔
斂,瀲
文,贇虔馼吝蚊悋斐剤斑斌緕斎顏済偐対紊斈紋憫斉閔旻
斉,剤緕斎済
斌,贇
斗,魁抖槲斟斜蝌萪科斛料斡蚪
斛,槲
斥,柝拆訴泝
斬,嶄漸慚塹鏨慙暫槧
斯,廝撕厮嘶
新,噺薪
方,旒謗放芳贅髣熬鰲徼旛妨葹旗圀旄舫旋斿紡旌旅嗷枋施旆竅籏嗾膂唹旃敖於房旁膀覈族磅游激餝遊榜鼇邊蝣螯傲傍錺遨訪鯲敷邀楞肪檄魴滂旙簇蒡閼鏃彷倣坊淤蔟防
於,唹鯲閼淤
施,葹
斿,遊
旁,謗膀磅榜傍滂蒡
旅,膂
族,嗾簇鏃蔟
旗,籏
旡,廐簪无既曁漑慨譖潛概蠶僭厩
既,漑慨概厩
旦,羶胆晝亘暄糧妲湯垣疸揚靼擅恒觴煬坦喧得場曁担瘍蘯殤碍蕩壇腸膓陽萱昼但塲諠慯怛顫蝪氈傷昜楊暘袒宣盪愃暢亶桓量檀
旧,稲焔陥児
旨,嘗詣稽鮨脂指
早,罩乾鐔廟瀚悼綽嶂章幹潭樟潮澣鱆璋譚障蕈掉覃棹韓草斡戟翰簟彰卓朝倬瘴啅嘲
旬,詢徇恂筍荀殉絢洵
旱,悍稈桿捍駻
昆,混箟焜菎鯤崑棍
昌,娼菖猖唱倡椙
明,萌盟
昏,婚棔
易,蜴鯣裼賜錫剔
昔,借惜籍藉錯措鵲醋
昜,湯揚觴煬場瘍蘯殤蕩腸膓陽塲慯蝪傷楊暘盪暢
星,猩腥惺醒
春,惷蠢鰆椿
昭,照
是,堤提寔題匙醍
時,蒔塒
晃,滉幌
晉,縉
普,譜
景,憬影
晶,橸
暴,瀑爆曝
曇,罎壜
曲,漕體糟槽艚腆膿曹儂遭農濃鱧禮典髷椣軆豊醴艶
曳,絏洩曵
更,鞭哽粳甦便硬梗峺
曷,褐葛謁竭藹蝎偈渇蠍掲歇碣遏臈鞨羯靄喝
曹,漕糟槽艚遭
曼,鰻饅縵鬘幔蘰鏝慢謾蔓漫
曽,憎甑増層噌僧贈
曾,囎
替,潜譛僣
最,樶撮
會,獪膾薈鱠繪檜
有,肴囿髄侑陏随郁淆賄宥鮪堕
朋,繃萠棚弸硼崩堋鵬
服,箙
朔,溯愬塑遡槊
朕,騰謄
朝,廟潮嘲
未,藕朱茱魅耙蛛昧耘耡味眛籍寐釐耒藉殊珠耜耕耨侏株銖耗妹洙誅誄
末,靺沫茉秣抹
本,鉢体笨躰
札,紮
朮,述術
朱,茱蛛殊珠侏株銖洙誅
朶,躱
朿,策蕀棘棗刺
杉,彬
束,悚柬速獺欄爛竦頼揀蘭籟敕辣嗽襴嬾剌勅整諫癩楝踈鶫懶嫩溂鰊闌瀾疎漱瀬喇藾
来,莱
東,煉鶇蘭陳錬練棟諌凍
松,鬆菘淞
析,蜥皙淅晰
林,魔縻禁嘛靡爨瀝糜摩梦焚麓麾痳霖痲麿癧歴麻麼噤轣楚礎櫪埜森襟淋婪潸梺彬靂磨暦梵琳罧醂菻
果,菓剿顆踝夥巣樔裹裸彙勦課
某,謀煤楳媒
柔,鞣糅揉蹂
柬,欄爛揀襴諫楝鶫鰊闌瀾
査,渣
栗,篥慄
桀,磔傑
桼,漆
梁,簗
條,篠滌
棘,蕀
楚,礎
楽,檪薬
榮,蠑
樂,爍藥鑠礫轢擽櫟
樊,礬攀
次,瓷諮咨姿粢恣懿茨盗資
欣,掀
欲,慾
歇,蠍
止,齟政瀕贇髭嫣堽啣齒征瀝砦企齔頻武眄歪斌歳捗鉦癧此歯歴蕋耻呰正莚轣紫渋渉麪澀趾涎噛眥澁櫪証歸焉凪眦顰歩整篶賦雌穢陟錻蘋齬靂祉症誕齲齦柾徙嘴卸阯址齪齧齷齣延鵡囓御疵蜑肯觜齢齶齠筵禦沚些貲蜒柴齡
正,政嫣堽啣征眄歪鉦莚麪涎証焉整篶症誕柾卸延御蜑筵禦蜒
此,髭砦呰紫眥眦雌嘴疵觜些貲柴
武,贇斌賦錻鵡
歩,瀕頻捗渉顰陟蘋
歯,噛齢
歳,穢
歴,瀝癧轣櫪靂
歹,洌列烈屍殘薨殤殫歿夙殪死斃殯餮殉殄残例殱殊殞殆殲殍殖殃殕殀薤冽葬裂
死,屍薨斃葬
殄,餮
殳,投芟役酘疫醫磐馨没廢磬撃般搬骰廏鑿癈臀慇繋緞發穀殿毅槃設毆殺翳殷段殼癜澱轂燬殻殴毀盤椴愨撥葮聲股鍛謦瘢
段,緞椴葮鍛
殷,慇
殿,臀癜澱
毀,燬
母,姆拇栂莓苺誨袰
毎,悔莓繁海侮敏塰毓誨晦梅
毒,纛
比,箆豼混箟毘批麒麝秕麓庇枇楷篦麑纔麌蓖麟麋屁焜粃麕麁麗菎鯤紕鹿轆崑陛皆階昆偕灑塵麈讒驪儷諧鏖揩漉棍貔砒妣巉琵
毳,橇
民,氓岷緡眠泯罠愍
氣,愾
永,詠脉怺泳昶咏樣漾
氾,笵范
求,逑球裘救毬
江,鴻
沓,踏鞜
沙,鯊莎裟娑
沛,霈
沾,霑
泉,湶線楾腺
泊,箔
法,琺
泙,萍
泡,萢
波,菠婆碆
洛,落
活,闊
浦,蒲
海,塰
涌,慂
淫,霪
淮,匯
温,薀
湯,蘯蕩盪
溥,簿薄
滕,藤籐
滿,懣
潘,藩
澡,藻
灰,詼炭恢
炎,痰餤淡啖談毯
為,偽
烏,嗚塢
烝,蒸
焉,嫣篶
無,嘸廡憮蕪撫
焦,鷦憔礁蕉樵
然,撚燃
熊,羆
熏,勳燻醺
燕,嚥讌臙
爪,抓笊爬
爭,淨箏瀞崢錚靜諍
爰,暖湲媛緩援煖
爲,譌僞
爵,嚼
爻,彌欝攪駁禰學黌樊礬鷽璽邇覺濔爼攀爽瀰爾
爾,彌禰璽邇濔瀰
牙,芽邪訝鴉谺穿呀雅冴
牟,桙眸鉾鴾
物,惣
犀,遲穉
犬,壓獣魃嶽獻髮厭祓茯倏撚伏秡憖拔飆然状猷献跋獎默闃吠哭黙燃袱靨嗅黶獄獸魘黻
狂,誑
狄,逖荻
猪,潴
猶,蕕
獄,嶽
玄,絃茲蓄磁弦蟀牽舷鉉眩慈呟衒孳率滋痃畜
率,蟀
玉,壬閠国宝璧掴璽瑩椢筺王
王,玉筌筐詮珈琅鰉抂酲逞汪閠理国往徴徨篁聖球鍠宝瑳瑾瑪鬮駐凰斑蝗瑤瑰璧掴呈瑙璢鬥潤瑠瑯珱瑶現栓注鬧鬪瑣玲隍皇珮註狂銓環瑞班璋寶璽惶珠鬩遑弄澂鬨瑟瓊璞住璃寳枉珥瑛麈瑕珸瑁瑩瑜碧瑚瓏主匡珞珪琥玻珀哢痊鐵琿柱玩廳琲珎蟶閏對珂聽珍琳玖椢程湟瓔玲琺框筺望琶珊琢玳旺琴誑郢全懲琵琉煌
瓜,柧弧呱菰瓠觚孤瓣狐瓢
瓦,瓲瓰瓱瓩瓶瓷甓甄甌甅甑甕甍甃甎瓧瓸瓮
甘,謀柑勘尠箝某稘廝嵌堪蚶酣篏撕其厮箕椹旗煤斟基戡碁麒甞紺籏甜憇糂拑楳邯媒甚鉗碪斯淇簸朞嘶疳騏坩期祺湛棋欺棊鍖
甚,勘尠堪椹斟戡糂碪湛鍖
甜,憇
産,薩
甫,逋哺簿愽溥鯆脯蒲輔賻捕圃膊匍浦薄傅埔舗餔搏舖敷榑補葡鋪尃縛黼博
甬,桶通誦樋慂踊鯒蛹涌痛俑
由,演廸油娉胄寅柚釉抽蚰舳鼬穂紬届軸画岫恵聘迪専冑騁宙袖
甲,押單単褝閘禅弾呷殫憚戦戰胛蝉狎闡鄲襌嬋匣岬鴨箪騨彈禪
申,伸抻神坤鰰捜呻紳痩榊暢
男,虜嫐湧嬲舅勇甥踴娚
界,堺
畏,隈猥
畐,福富幅副
留,鰡餾籀瑠榴霤溜瘤
畜,蓄
畢,篳蹕
番,蟠飜鐇旛瀋膰蕃潘鷭翻審燔幡繙旙藩播
畫,劃
異,糞戴翼驥冀
當,襠礑鐺蟷
疋,綻定堤従嶷縦提蛋蔬旋寔胥擬題碇掟礙是癡楚諚匙礎凝淀嚏錠婿疑聢疏壻醍疎
疏,蔬
疑,嶷擬礙癡凝
疾,嫉
癸,揆葵
発,廃溌醗
登,燈嶝橙證澄磴鐙
發,廢癈撥
白,爍鰉廐湶拍檪棉藐泉徨篁鍠宿藥曁綿線凰楷蝗鑠百舶廏樂礫習楾轢隍皇激階惶錦擽遑櫟偕戞薬邀腺諧泊揩梍原迫湟槹貌源伯兜煌
百,縮宿竡佰憂弼粨優栢鏥擾戞蓿陌瓸貊
皀,廐曁廏梍
皃,藐貌
皆,楷階偕諧揩
皇,鰉徨篁鍠凰蝗隍惶遑湟煌
皐,槹
盈,楹
益,謚溢鷁隘鎰縊
盍,蓋溘闔
盡,贐壗燼儘
監,藍襤籃儖鑑繿艦濫檻
盧,廬爐臚轤櫨鱸鑪顱驢蘆艫瀘
直,植稙悳埴殖矗値置
相,孀箱湘霜廂想
盾,楯遁循
眇,渺緲
眉,嵋媚
県,縣懸纛
眞,愼鷆鎭癲嗔塡槇瞋
真,鎮槙鷏慎巓癲顛填
睿,叡濬
瞿,攫衢钁懼矍
矍,攫钁
矛,務袤橘鞣柔鶩糅鷸楙懋譎揉霧矜茅蹂
矢,聟欸喉篌肄醫竢嶷蜘擬踟雉嗾矩礙痴笶侯癡族猴矧知凝嫉矯翳薙医短矮矣疾候簇疑挨俟埃鏃椥智蔟
矣,欸竢挨俟埃
知,聟蜘踟痴椥智
石,鮖砠磚破宕磯砺磔砧磐磑磬砲砦砿磧砥磁碵碼碩碕碁岩碍蠹碗碚碎確碾磊碇碓礫矼礬礙碆磆硅磋拓礪礦碌碑磅硝碯礎鉐蠧斫硯碣硴礁硼硬礑碧硫碪硲礒礇研柘砕磴磨妬砂砒跖磽砌
神,鰰榊
票,漂嫖鰾飄剽驃飃慓標縹瓢
祭,蔡擦察際
禀,凛
禁,噤襟
禸,禺黐藕离漓勵魑嵎禽竊癘擒辭萬寓礪属偶遇籬璃隅蠣邁糲齲離愚檎禹亂嘱
禹,属齲嘱
禺,藕勵嵎癘萬寓礪偶遇隅蠣邁糲愚
离,離
禽,擒檎
禾,稾酥魏黐龝稲稽稘稿藜鯏私蓁乘秀鍬稱頽稙稼啾利秋禿瀝鞦馨巍稈稻稠湫誘透種稷穐痿秕秡菌秣銹懍癪癧穆穂積黏秧秒秦麕穎穗穃穩薐蝌黎租秤萪科秬甃黍轣穏委穀榛移萎秩櫪犂穰穫萩犁穣蘇蘓莠莉痢楸穢和凜矮称秘剩穉穡綉愁靂愀鰍梨箘馥香秉俐季稟程稀稔倭啝悸逶臻稜稗稚税廩蜊悧稍
禿,頽
秀,誘透銹莠綉
秋,鍬啾鞦湫甃萩楸愁愀鰍
科,蝌萪
秦,蓁榛臻
稜,薐
稟,懍凜廩
積,癪
穴,箜椌竇竊窓搾窒穹窰竄窿窟窄鴪竅窩突窕腔窶窖窃窗竃窺窪穿穽邊窘竈窯空窈邃膣究窮控倥啌
空,箜椌腔控倥啌
窄,搾
窒,膣
立,竸妾竟撞橦朧童竓謗竪艟壟縡竝竦竒竭竢龕僻暗蒟部嶂嵜宰倍竣翌竚翊竜竡竕龍椄黯章端薜薩新柆樟織甓韶諺襲幟戠薛親粒璧辧潼臆霎韻噺避億韵莅憶蘢碚譬辭笠響境臂辣辮篭襯劈陪識顔顏竏竍旁鱆諳膀壁霹音噫辯磅寵嬖擘賠辟榜璋襞毅障苙偐蘖蘗闢辞隴傍癖幢憧接泣鏡剖籠薪培焙滓颯殕瓏辨産辛辜位滝站蔀躄靖彰意拉竰滂聾彦瞳蒡商檗瀧檍職瘴競熾瓣菩梓闇鐘槞僮
竒,嵜
竜,篭滝槞
竟,竸境鏡
章,嶂樟鱆璋障彰瘴
童,撞橦艟潼幢憧瞳鐘僮
筑,築
答,箚
筮,噬
算,纂簒
箭,擶
節,櫛
粛,繍
粥,鬻
粲,燦
系,縣鯀懸纛緜遜係孫
約,葯
累,騾縲螺瘰
絹,羂
維,羅鑼蘿邏
縁,櫞
縢,籘
縣,懸纛
縵,蘰
罔,魍網惘
署,薯曙
罷,羆擺
羅,鑼蘿邏
美,躾羹
羔,窯羮羹
義,犠儀議礒嶬蟻艤
羲,曦犧
翁,鶲蓊
習,翫慴摺褶
翕,歙
翰,瀚
老,蓍鰭姥蛯耆嗜耄耋咾
耂,暑蓍都煮著鰭孝堵豬酵楮姥渚蛯潴赭緒薯拷儲墸耆嗜教耄耋賭曙屠者老咾諸猪偖栲考覩藷哮闍躇箸睹署瀦奢
考,拷栲
者,暑都煮著堵豬楮渚潴赭緒薯儲墸賭曙屠諸猪偖覩藷闍躇箸睹署瀦奢
耆,蓍鰭嗜
而,臑揣喘糯懦端儒需襦嬬蠕粫猯繻瑞惴耐轜湍濡孺
耒,藕耙耘耡籍藉耜耕耨耗誄
耶,爺揶椰
聖,蟶
聚,驟
聴,廰
聶,摂躡鑷顳囁攝懾
聽,廳
聿,肆晝畫簫肇肅筆律葎贐肄鍵瀟壗燼健書繍粛蕭儘腱劃嘯津建盡
肅,簫瀟蕭嘯
肋,筋
肖,梢峭哨宵逍悄鞘趙消屑蛸霄硝削銷誚鮹稍
育,轍徹撤
肴,淆
胃,謂膚蝟渭喟
胡,餬糊蝴楜瑚湖醐葫
胥,婿壻
能,羆態擺罷熊
脊,鶺蹐瘠
臧,贓臟藏
自,厦首馗臭鼾憩嬶寡鼻邉戛道榎邊夏廈嚊息馘導熄嗅嗄
臭,嗅
至,握倒輊鵄垤蛭幄窒姪腟屋擡咥榁耋緻膣薹渥椡桎到齷室臻致臺
致,緻
臺,擡薹
臾,諛萸腴
與,欅嶼擧譽舉襷歟
舌,濶聒乱話舘憩甜憇括蛞舐舒辞銛舖舍活刮闊筈恬
舍,舘舒舖
舎,捨
舛,瞬磔隣鱗麟憐蕣傑鄰舞燐舜桀桝
舜,瞬蕣
般,磐搬槃盤瘢
良,狼琅娘廊螂莨浪瑯榔郎粮踉朖朗
色,絶艷艶
艸,芻鄒趨皺蒭雛
芒,鋩
花,椛糀埖硴錵
芳,餝錺
芻,鄒趨皺蒭雛
苗,描錨猫
苛,渮
苟,檠驚警敬
若,惹諾慝匿
英,暎瑛霙
茲,孳
荅,剳塔搭鞳
荒,慌
莫,謨摸冪羃貘糢驀墓慕寞蟆膜蟇幕模漠募獏暮
莽,蟒
菫,勤
華,曄嘩譁樺
萃,膵
萬,勵癘礪蠣邁糲
著,墸躇
葛,臈
蒙,朦檬艨曚濛矇
蒿,藁嚆
蔑,韈襪
蔵,臓
蕩,蘯
蕭,瀟
薛,蘖
薜,蘗
藏,臟
藝,囈
藺,躪
虍,謔廬虚虎虔虜處獻爐虐號濾臚饕虞罅鑢墟遽戯轤膚據櫨鱸戲鑪遞慮劇顱驢蘆歔鯱瘧琥褫盧彪艫醵嘘虧瀘
虎,號饕遞鯱琥褫彪
虐,謔瘧
虚,墟戯歔嘘
號,饕
虫,蟯蜷蟠蚩蚕騷蜴蜻蜈蛎蚶蛍嵐蜉瘋蟒蜥虹蛆蛇蚓蚊蜘蜿蟹蚌蛋蚰蛄蚋蟐髑飄螺蝨蛮蛭諷蝕融螂颱蝗螻蟀蝎蛛蛯蛔掻蠑蠅蠹飆颶蠕蛬蛹蛸蛟蛤蠏蝓蟋蟄螟飃蝌蟆螽蠖蠍強蛞蠎属蟇蝟蝸蝋螳風蝉螢蠧濁蝴蝠燭蝶繭蠱蛩蛻蝮蝣螯颪蝪螫蠻蛙屬繦蠡蝦襁颯蝿蠣蛾矚蠢蠶嗤蝙楓触蜂蜍蛉蚯蜚蜃蟻躅齲雖蜜蜩蟶獨蚣虻蟷蜀觸蟾蚪禹嘱虱蜑蟲騒蜊蚤蚫独囑櫁蜒蜆
蚤,騷
蚩,嗤
蜀,髑濁燭屬矚躅獨觸囑
蜜,櫁
蟲,蠱
血,睾衄衆洫衂恤
行,鵆絎衙衢哘衡銜桁衝衒術裄衞垳街愆衍衛
衍,愆
衣,攘衰壞孃袤衾壤褒醸俵懐袈衷喪禳裘嚢壌襲嬢裳壊製薗園遠譲蓑裴滾裹哀裟襞穰依裝轅襄穣讓曩襃榱裔猿驤袞懷簑装袋袰裏袁裁釀褻表畩裂簔
表,俵
衰,蓑榱簑簔
袁,薗園遠轅猿
袞,滾
裁,纎戴截殱鐵
裏,滾袞
襄,攘孃壤醸禳壌嬢譲穰穣讓曩驤釀
襾,票鐔漂嫖鰾飄潭剽驃飃価慓覈標譚蕈覊覃簟縹瓢
要,腰
覃,鐔潭譚蕈簟
見,攬欟攪槻欖靦寛覘覬覧親纜覦襯覡現覯窺覿硯覲覽覓観覺覗覚視觀規覩筧撹俔蜆
規,槻窺
覚,撹
親,襯
覺,攪
覽,攬欖纜
觀,欟
角,桷觴蟹槲蠏斛懈邂触觝觧鵤嘴觸觜埆觚解廨
觜,嘴
解,蟹蠏懈邂廨
言,謨講謀謔誡詭詢誉詣詮誠謁謚謎欒謗詼嶽読詠誣詈謂謖謝簷詰詫臠彎誦詬話藹攣謇謌謹罸詳誤誘鞫贍誥試説誹該謐謄護巒灣諺諷訛譯譴訂訖膽憺託訃討證譱譬訓訊訝諱譫識議警譲譽讙鑾訐諾訟諳擔澹訌辯譖戀計註諮訴諚儲諭論諢証讀譚譎譜譁讖診諠諛訣訶諜諡設讃燮讎讚譏譛譟滸讓變蠻諤訪諸諫訳讒譌讐許訥諦諒記諧諞讌謡藷鸞諏誨這誕檐誼謠詛詔誚誂認諍評詁諂詩謳謾蟾詑課靄語誓誇談詐獄信謦謫諌詒詆誑誅誌瞻誄誰諄詞調請謙謬罰
討,罸
許,滸
諸,儲藷
謁,藹靄
谷,壑卻峪浴穃谺榕谿硲慾裕豁溶郤逧蓉欲熔容俗鎔
豆,豈饐體燈鎧嶝壹橙頭廚逗磑痘凱樹覬殪證戲登闘膨鬪剴鼓澎噎荳鼕鱧短澄榿皷皚禮鐡磴瞽豎軆懿豊彭醴艷鐙厨豐豌艶
豈,鎧磑凱覬剴榿皚
豊,體鱧禮軆醴艶
豐,艷
豚,遯
象,橡豫像
豪,壕濠
豬,瀦
貌,藐
貍,霾
貝,頤頰領貮饋瀕嘖禎贇貭贓贊貢濺獺頬負贅賈貯贐贄財贋頽頭簣嶺責贔贏貸貫狽濱頷齎頼頡磧贍貧贖貪厠績罌頴頻須竇碵碩類犢賻噴購樌鬢巓顆顋癲墳賺韻償籟癪題嶺積顕側實唄潰續賽遉纐櫻廁嬰圓偵顔穎顏顛額殯幀襭牘遺擯膩纓屓鑽瑣嬾嬪敗顎蕷鑚匱賜囂嚶囎賛賠慣鬚惻覿讀顳顧顱隕傾殞寶纉賢賭賚賣纈潁則讃讚顫願顰顯顴戝寳濆賞質賓賦繽領債癩蘋憤賤噸損賑測項頑頌煩攅懶賂貶賍賎買賃頸預蹟頒順熕躓賁販貼費貨賀貴員檳鵙價頓頚頗頃瓔勣櫃貿貰賄瞶贈黷鎖頂頏漬賊資貳貞瀬貲貽鸚簀槓藾頁
貞,禎碵遉偵幀
貢,熕槓
貫,樌實慣
責,嘖磧績癪積債蹟勣漬簀
貳,膩
貴,饋簣潰遺匱櫃瞶
賁,噴墳濆憤
賈,價
賓,濱鬢殯擯嬪繽檳
賛,鑚纉讃攅
賞,償
賣,贖竇犢續牘覿讀黷
賤,濺
質,躓
贈,囎
贊,鑽讚
赤,赫赦赧赭螫嚇
赦,螫
赫,嚇
走,徒跿赱趙赳起赴趣越超趁趨
足,蹲躙跿蹙跳蹤躪蹴蹠蹈蹉蹼蹣跨践跼躡蹶蕗踐踟踝踊踞踏踰趾捉踪跋跌促露跏踵踉跂趺鷺踈踴蹊蹇躋躄跫跟躑躅蹟蹐蹄躊躓躇跪距齪蹌蹕躍跖跣跚蹂躁跡跛路躔
路,蕗露鷺
躬,窮
軍,褌揮輝皹皸諢運渾鶤琿葷暉暈
載,鐵鐡
轉,囀
辛,縡僻宰薜甓薛璧辧避譬辭臂辣辮劈壁霹辯嬖擘辟襞蘖蘗闢辞癖滓辨辜躄檗瓣梓
辟,僻薜甓璧避譬臂劈壁霹嬖擘襞蘗闢癖躄檗
辰,振娠脣晨膿震唇蓐儂辱農濃耨賑褥蜃宸縟溽
辱,蓐耨褥縟溽
農,膿儂濃
迷,謎
追,槌鎚縋
退,腿褪
送,鎹
通,樋
造,慥
逢,縫蓬篷
連,縺鏈蓮嗹漣
逮,靆
遂,隧燧邃
道,導
達,撻燵闥韃
遣,譴鑓
遷,韆
邑,悒癰滬廱扈
那,梛娜
郎,廊螂瑯榔
部,蔀
郭,廓槨
郷,饗嚮響
鄭,擲躑
酉,蹲酬酥醪酘酲酳醸醫酪醤醯酷酣逎酢醉醢酵楢蕕遵鱒遒墫猷樽噂擲猶鄭醇酋酸躑酌醒醋醐酊酒醜酖釁配醵尊酎醴釀奠醂醍酩鰌酔醺醗
酋,蹲楢蕕遵鱒遒墫猷樽噂擲猶鄭躑尊奠鰌
釆,蟠番飜釈鐇釉旛瀋竊膰蕃潘墺懊蟋鷭翻審燔燠澳幡礇繙釋旙悉藩奧播
采,綵彩菜採
重,鍾勲種慟腫働踵薫衝董動
野,墅
量,糧
閏,潤
閑,嫻
間,簡繝墹癇澗燗嫺
閔,憫
閣,擱
閭,櫚
闌,欄爛蘭襴瀾
阜,埠
阿,婀痾
陏,随堕
陰,蔭
隆,嶐窿
隊,墜
隋,橢隨墮
隶,糠隸康鱇慷隷棣逮靆
隹,躙攫攤欟贋椎權躪衢擁羅軈罐雙鶴帷獲罹護驩催鷦錐憔壅癰鷹鑼鑵推霍雉確碓戳截甕膺擢儁灘曜歡讙蠖権携蘿惟燿歓雍售應囃钁雎穫顧雁隼唯礁観籬隻舊蕉讎雀顴雋雄潅凖灌耀雅雌薙讐雇觀匯儺邏樵崔襍集焦癨藺雕雜瞿准暹勸廱雛軅離準雖寉維濯懼堆摧進淮勧難奪奮騅躍矍鸛櫂糴稚糶虧懽誰鐫攜雑
隻,攫獲護蠖钁穫矍
隼,凖準
雁,贋軈鷹膺應軅
集,襍
雇,顧
雉,薙
雋,儁鐫
雍,擁壅甕
雜,囃
離,籬
難,攤灘儺
雪,艝膤轌鱈
雲,靉曇罎壜繧靆
零,澪
雷,擂蕾
需,臑糯懦儒襦嬬蠕繻轜濡孺
霍,癨
霜,孀
青,蜻情静瀞倩猜鯖錆精菁清靖靜睛晴請
静,瀞
革,鞠靺韈靭鞣靴鞭靼靱鞦靫羇鞫鞘霸覇覊鞜鞁鞨鞴鞏羈勒鞍韃鞳韆靹鞆鞐鞄鞋鞅
韋,緯圍幃諱偉韜違韓葦衛
韭,孅齏纎纖韲籖韮殱讖籤殲薤懺懴
音,竸竟暗黯章織韶幟戠臆韻億韵憶響境識諳噫鏡意檍職熾闇
頁,頤頰領瀕獺頬頽頭嶺頷頼頡頴頻須碩類巓顆顋癲籟題嶺顕纐顔穎顏顛額襭嬾顎蕷囂鬚顳顧顱傾纈潁顫願顰顯顴領癩蘋噸項頑頌煩懶頸預頒順頓頚頗頃頂頏瀬藾
頃,頴穎傾潁
須,鬚
預,蕷
頓,噸
領,嶺嶺
頡,襭纈
頻,瀕顰蘋
頼,獺籟嬾癩懶瀬藾
顛,巓癲
風,嵐瘋飄諷颱飆颶飃颪颯楓
飛,飜
養,瀁癢鱶
首,馗道馘導
香,馨馥
馬,馳駆騷駄駅騫騰駁馼馴騙騾驕碼驩瑪駸駟駐駑篤驛驀驂驍駒駝驚驃驗駢駭駮驟憑駕駛媽驅駱駿駘駲闖覊驢驪驥駻隲驤驫騎罵騨騏羈騁騅駈騒馮馭験
馮,憑
骨,體髓鶻髑骼髀髏髄骰磆骭猾榾骸滑
高,稾鎬稿髞蒿亭嵩藁膏敲槁塙犒嚆縞
髟,髯髭髢髣髮髪髦髫鬣鬢鬘鬚鬟鬆髻髴髷髱
鬥,鬮鬧鬪鬩鬨
鬯,鬱
鬲,獻融鬻隔膈
鬼,魔魏魁魃魎魍魂蒐愧巍魑魅魄塊餽瑰隗傀嵬醜槐魘
魏,巍
魚,鰯鰈鰻漁鮗鮃鮎鮖鰉鰡鰺鰮鮨鯏鮴鯀鰭鰲鮑鮟鰾鰥鯆衡鮒鮓鯊鰰鰤癬鱗鱚鯛鯔鯡鯣鯢鯖薊鯒鱸鱆鱒鯑鯤鱇鱶鯵櫓鯨蘚鱈鱠蘇蘓鯲鱧鯰鯱鰕鮭魯魴鮮鰛鰔艪鰍鯉鮠鰊鰓鮫鮹鰆鰒鰄鰐鮪鰹鰌
魯,櫓艪
鮮,癬蘚
鳥,鵆鵝嶌嶋鵞鷄鵑鷆鶲鶇鵄鵐鳬鶺鶚鵁鳫鵜鷂蔦鶴鶻鷏鶏鶩鷁鳧鴬鷦鴿鴫鷓鷹鴦鴪鴾鷸鷯鴣鴈鴻鷭鴉鴟烏鷲鷽鴇嗚鴆鴒鷙樢鴃鴎鴕搗塢鷺鴛鴨鶸鶫鳶鶤島鸞鵲鳩鵤鵬鵙鳴鳰鵡梟鸛鵠鵯鵈鳳槝鶉鸚鶯鵺
鹵,滷鹹鹸鹽
鹿,麒麝麓麑麌麟麋麕麁麗轆灑塵麈驪儷鏖漉
麗,灑驪儷
麥,麩麪麭
麦,麺麸麹
麻,魔縻嘛靡糜摩麾麿麼磨
黍,黐藜黏黎
黎,藜
黑,黥勳黝壥點黠黔黯黜燻儻默熏黶黷黨黴醺
黒,黛纒墨黙
黨,儻
黹,黼黻
鼓,鼕皷瞽
